NOME;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT
ACACIO FERRARI;2020-11-27;2021-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2022-01-01
ACAUAN MORAIS DALÓIA;2011-02-21;;;EM FUNCIONAMENTO NORMAL;2011-02-21
ACHILES FRANÇA JUNIOR;2008-09-02;2012-09-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-28
ACYR ELIAS FREIRE JUNIOR;2004-07-12;2009-05-21;CANCELAMENTO A PEDIDO;CANCELADA;2009-05-21
ADAIAS BATISTA DA SILVA JUNIOR;2021-05-05;;;EM FUNCIONAMENTO NORMAL;2021-05-05
ADAILTON ALVES FERNANDES;2018-02-27;2019-03-19;CANCELAMENTO A PEDIDO;CANCELADA;2019-03-20
ADAILTON ARCANJO RIBEIRO JUNIOR;2022-04-12;;;EM FUNCIONAMENTO NORMAL;2022-04-12
ADAILTON OLIVEIRA DE ALMEIDA;2021-01-26;;;EM FUNCIONAMENTO NORMAL;2021-01-26
ADAIR FABRICIO DOS REIS SANTOS;2020-08-17;;;EM FUNCIONAMENTO NORMAL;2020-08-17
ADAIR MOREIRA DE SOUZA;2019-04-03;2021-09-15;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-16
ADAIR NASPOLINI NETO;2020-07-09;;;EM FUNCIONAMENTO NORMAL;2020-07-09
ADALBERO DE ARAÚJO CAVALCANTI;2010-05-25;2012-11-21;CANCELAMENTO A PEDIDO;CANCELADA;2012-11-21
ADALBERTO DE  FARIA;2002-04-19;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADALBERTO FABIO LOURENÇO DA SILVA;2018-10-31;;;EM FUNCIONAMENTO NORMAL;2018-10-31
ADALBERTO PELEGRINI;2011-05-27;2018-05-10;CANCELAMENTO A PEDIDO;CANCELADA;2018-05-11
ADALBERTO SCHMIDT DA SILVA;2021-07-20;;;EM FUNCIONAMENTO NORMAL;2021-07-20
ADALBERTO VELOSO JÚNIOR;2016-12-06;;;EM FUNCIONAMENTO NORMAL;2016-12-06
ADALTO FERREIRA SANTOS;2018-05-16;;;EM FUNCIONAMENTO NORMAL;2018-05-16
ADALTO FERREIRA SANTOS JÚNIOR;2019-09-09;;;EM FUNCIONAMENTO NORMAL;2019-09-09
ADAM ASSINI CAMPOS;2021-08-10;;;EM FUNCIONAMENTO NORMAL;2021-08-10
ADAM LOUNIS;2019-02-12;;;EM FUNCIONAMENTO NORMAL;2019-02-12
ADÃO LUIZ GUEDES DOS SANTOS;2005-07-05;2018-01-15;CANCELAMENTO A PEDIDO;CANCELADA;2018-01-16
ADAO MACHADO JUNIOR;2018-04-02;2020-11-06;CANCELAMENTO A PEDIDO;CANCELADA;2020-11-07
ADAUTO CAMPAGNOLO JUNIOR;2020-04-01;;;EM FUNCIONAMENTO NORMAL;2020-04-01
ADAUTO FRANCO;2022-07-11;;;EM FUNCIONAMENTO NORMAL;2022-07-11
ADAUTO SOARES FERREIRA MARTINS;2007-08-14;2017-03-08;CANCELAMENTO A PEDIDO;CANCELADA;2017-03-09
ADEL MALAS;2010-03-16;2012-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-29
ADELAIDE THEREZA NESCI;2004-09-10;2014-08-01;CANCELAMENTO A PEDIDO;CANCELADA;2014-08-01
ADELAIDE VEIGA;2009-03-05;2012-08-01;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-01
ADELIA MARIA BEGO DA SILVA;2022-01-07;;;EM FUNCIONAMENTO NORMAL;2022-01-07
ADELINA TOMAZ MARCONDES;2002-07-15;2011-11-23;CANCELAMENTO A PEDIDO;CANCELADA;2011-11-23
ADELINE CARDOSO DE SOUZA SILVA;2020-11-18;2021-08-18;CANCELAMENTO A PEDIDO;CANCELADA;2021-08-19
ADELIR STOLF;2021-12-06;;;EM FUNCIONAMENTO NORMAL;2021-12-06
ADELMAN WALLYSON DE SOUSA BENIGNO;2019-06-24;;;EM FUNCIONAMENTO NORMAL;2019-06-24
ADELMAR MEDEIROS DO AMARAL;2007-01-24;2020-04-07;CANCELAMENTO A PEDIDO;CANCELADA;2020-04-08
ADELMAR PINHEIRO SILVA JUNIOR;2007-07-11;2018-10-29;CANCELAMENTO A PEDIDO;CANCELADA;2018-10-30
ADELMO DE LIMA RIOS;2020-03-04;;;EM FUNCIONAMENTO NORMAL;2020-03-04
ADELMO JEFERSON RODRIGUES PINTO JÚNIOR;2020-11-10;;;EM FUNCIONAMENTO NORMAL;2020-11-10
ADELSON ISAAC DE MIRANDA NETO;2020-10-08;;;EM FUNCIONAMENTO NORMAL;2020-10-08
ADEMAR BRAZÃO ROSA;2009-05-27;2012-08-13;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-13
ADEMAR CECHELERO COUTO;2021-07-01;;;EM FUNCIONAMENTO NORMAL;2021-07-01
ADEMAR GOMES DE OLIVEIRA FILHO;2021-11-03;2021-12-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-31
ADEMAR MESQUITA JUNIOR;2019-05-27;;;EM FUNCIONAMENTO NORMAL;2019-05-27
ADEMAR MESQUITA JUNIOR;2013-04-08;2016-04-01;CANCELAMENTO A PEDIDO;CANCELADA;2016-04-01
ADEMAR TETUAKI HAIBARA;2002-11-25;;;EM FUNCIONAMENTO NORMAL;2002-11-25
ADEMILSON MENDES BISPO;2019-10-01;2020-10-15;CANCELAMENTO A PEDIDO;CANCELADA;2020-10-16
ADEMIR ALVES DOS SANTOS JUNIOR;2020-01-15;;;EM FUNCIONAMENTO NORMAL;2020-01-15
ADEMIR ANTONIO DE CARVALHO;2021-07-13;;;EM FUNCIONAMENTO NORMAL;2021-07-13
ADEMIR ANTONIO DE CARVALHO;2002-07-04;2019-12-17;CANCELAMENTO A PEDIDO;CANCELADA;2019-12-18
ADEMIR AURELIO MONTEIRO;2018-05-07;;;EM FUNCIONAMENTO NORMAL;2018-05-07
ADEMIR CERVI VICENTE;2021-01-04;;;EM FUNCIONAMENTO NORMAL;2021-01-04
ADEMIR CHRIZOSTIMO DO NASCIMENTO;2012-03-14;2015-06-18;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-19
ADEMIR ELIAZ CAETANO;2022-05-03;;;EM FUNCIONAMENTO NORMAL;2022-05-03
ADEMIR FELIPE JUNIOR;2021-01-08;;;EM FUNCIONAMENTO NORMAL;2021-01-08
ADEMIR FERREIRA DE SOUZA;2021-07-01;;;EM FUNCIONAMENTO NORMAL;2021-07-01
ADEMIR GUTIERRI SOARES;2009-03-10;2016-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2017-01-01
ADEMIR PEREZ;2004-12-09;2011-06-21;CANCELAMENTO A PEDIDO;CANCELADA;2011-06-21
ADERALDO RIBEIRO DA SILVA;2011-01-12;2016-01-21;CANCELAMENTO A PEDIDO;CANCELADA;2016-01-21
ADERSON GEGLER;2007-12-11;;;EM FUNCIONAMENTO NORMAL;2007-12-11
ADEVAL LEONARDO DOS SANTOS;2010-03-24;;;EM FUNCIONAMENTO NORMAL;2010-03-24
ADHAM GADELHA SA;2022-04-13;;;EM FUNCIONAMENTO NORMAL;2022-04-13
ADHERBAL MATTOS DE VILHENA;2008-09-18;2015-06-01;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-01
ADIEL GOMES DA SILVA;2008-05-15;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADIL CARLOS POSSEBOM;2009-07-01;2016-08-15;CANCELAMENTO A PEDIDO;CANCELADA;2016-08-16
ADILSON ADRIANO DE ALVARENGA;2010-06-22;2015-02-02;CANCELAMENTO A PEDIDO;CANCELADA;2015-02-02
ADILSON BENEDITO FERREIRA DA FONSECA;2022-08-10;;;EM FUNCIONAMENTO NORMAL;2022-08-10
ADILSON BUENO DA SILVA;2021-05-06;;;EM FUNCIONAMENTO NORMAL;2021-05-06
ADILSON CHIARAMONTE;2013-02-05;;;EM FUNCIONAMENTO NORMAL;2013-02-05
ADILSON DOS SANTOS SILVA;2021-06-09;;;EM FUNCIONAMENTO NORMAL;2021-06-09
ADILSON GALLINARO FILHO;2003-08-05;;;EM FUNCIONAMENTO NORMAL;2003-08-05
ADILSON JACOMELI DE OLIVEIRA;2019-10-18;;;EM FUNCIONAMENTO NORMAL;2019-10-18
ADILSON JOSE PAIVA POZZA;2013-08-09;;;EM FUNCIONAMENTO NORMAL;2013-08-09
ADILSON PERES BONVINO;2010-10-20;;;EM FUNCIONAMENTO NORMAL;2010-10-20
ADILSON RANGEL TAVARES JUNIOR;2021-02-05;;;EM FUNCIONAMENTO NORMAL;2021-02-05
ADILSON REGO DA SILVA;2009-07-23;2014-03-10;CANCELAMENTO A PEDIDO;CANCELADA;2014-03-10
ADILSON SCHELBAUER;2015-10-29;;;EM FUNCIONAMENTO NORMAL;2015-10-29
ADILSON SOARES;2002-08-29;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADILSON TOTH GUERRA;2021-07-01;;;EM FUNCIONAMENTO NORMAL;2021-07-01
ADILSON VILAR DE MACEDO;2018-04-16;;;EM FUNCIONAMENTO NORMAL;2022-06-02
ADILTON LUIZ VETTORAZZI;2021-04-29;2021-09-27;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-28
ADINAN OLIVEIRA HAYNE;2010-09-10;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADINE OLIVEIRA DOS SANTOS;2020-10-02;2021-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-01
ADIR MATHIUCE DA SILVA JUNHIOR;2007-01-10;2016-10-20;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-21
ADLER BARROSO FERREIRA;2020-02-18;2020-12-04;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-05
ADLER BARROSO FERREIRA;2018-02-16;2018-12-21;CANCELAMENTO A PEDIDO;CANCELADA;2018-12-22
ADLEY PIOVESAN;2002-02-15;2013-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2013-09-30
ADMILSON JOSÉ LONGO JUNIOR;2008-12-03;2018-04-30;CANCELAMENTO A PEDIDO;CANCELADA;2018-05-01
ADO PEREIRA;2013-02-05;;;EM FUNCIONAMENTO NORMAL;2013-02-05
ADOLFO BERANGER NETO;2010-09-22;;;EM FUNCIONAMENTO NORMAL;2010-09-22
ADOLFO DANIEL ALVIÇO JUNIOR;2012-04-04;2019-05-29;CANCELAMENTO A PEDIDO;CANCELADA;2019-05-30
ADOLFO DANIEL ALVICO NETO;2019-11-27;;;EM FUNCIONAMENTO NORMAL;2019-11-27
ADOLFO GONÇALVES NOGUEIRA LAREDO;2001-11-19;2014-05-27;CANCELAMENTO A PEDIDO;CANCELADA;2014-05-27
ADOLFO HENRIQUE BIFARONI ALVES;2021-07-20;;;EM FUNCIONAMENTO NORMAL;2021-07-20
ADOLFO MORENO DA CUNHA;2017-06-29;;;EM FUNCIONAMENTO NORMAL;2017-06-29
ADOLIR ALBINO ROSSI;2003-11-19;;;EM FUNCIONAMENTO NORMAL;2003-11-19
ADOLPHO CANDIDO DE SOUZA DIAS FILHO;2019-09-03;2020-09-27;CANCELAMENTO A PEDIDO;CANCELADA;2020-09-28
ADOLPHO DE ALBUQUERQUE MAYER NETO;2013-08-09;2014-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2014-06-30
ADOLPHO DE SOUZA NAVES NETO;2001-10-16;;;EM FUNCIONAMENTO NORMAL;2001-10-16
ADOLPHO RIBEIRO NETO;2005-12-16;;;EM FUNCIONAMENTO NORMAL;2005-12-16
ADONIAS MARTINS DE NORONHA;2019-04-29;2020-12-22;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-23
ADONIRAM MIGUEL ZWARETCK;2020-10-22;2021-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-30
ADONIS ASSUMPCAO PEREIRA JUNIOR;2003-04-02;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADÔNIS HENRIQUE YENDO DE MORAES;2020-10-09;;;EM FUNCIONAMENTO NORMAL;2020-10-09
ADRIAN MATHEUS NASCIMENTO CARVALHO;2019-08-30;;;EM FUNCIONAMENTO NORMAL;2019-08-30
ADRIANA ALENCAR;2021-02-12;;;EM FUNCIONAMENTO NORMAL;2021-02-12
ADRIANA ALMEIDA FONTES;2002-07-24;2004-12-30;CANCELAMENTO A PEDIDO;CANCELADA;2004-12-30
ADRIANA APARECIDA BURON CAVALHEIRO;2021-07-20;;;EM FUNCIONAMENTO NORMAL;2021-07-20
ADRIANA APARECIDA GONZAGA DOMINGUES;2022-01-17;;;EM FUNCIONAMENTO NORMAL;2022-01-17
ADRIANA APARECIDA LEITE;2021-12-03;;;EM FUNCIONAMENTO NORMAL;2021-12-03
ADRIANA APARECIDA SOLDERA;2022-03-10;;;EM FUNCIONAMENTO NORMAL;2022-03-10
ADRIANA BALDO MACEDO;2021-05-31;;;EM FUNCIONAMENTO NORMAL;2021-05-31
ADRIANA BALTRESCA FERNANDES DONATO RUSSI;2021-02-12;;;EM FUNCIONAMENTO NORMAL;2021-02-12
ADRIANA BATISTA DA CRUZ MING;2018-04-04;;;EM FUNCIONAMENTO NORMAL;2018-04-04
ADRIANA BERNES ASSEGAVA;2007-09-24;;;EM FUNCIONAMENTO NORMAL;2021-09-01
ADRIANA BRUSNICKI;2011-07-20;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANA CATUTA DE REZENDE FERREIRA;2008-01-30;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANA CHERIN;2018-08-28;;;EM FUNCIONAMENTO NORMAL;2018-08-28
ADRIANA CRISTINA FERNANDA DA SILVA BARBOSA;2017-02-15;;;EM FUNCIONAMENTO NORMAL;2017-02-15
ADRIANA CRISTINA MASIERO ZARO;2020-12-18;;;EM FUNCIONAMENTO NORMAL;2020-12-18
ADRIANA DA ROSA CARVALHO RUNTE;2009-07-21;2017-09-18;CANCELAMENTO A PEDIDO;CANCELADA;2017-09-19
ADRIANA DA SILVA BRITO;2020-08-07;2022-08-10;CANCELAMENTO A PEDIDO;CANCELADA;2022-08-11
ADRIANA DA SILVA CARVALHO;2020-11-13;;;EM FUNCIONAMENTO NORMAL;2020-11-13
ADRIANA DE ALVARENGA NETTO MARTINS;2019-10-10;;;EM FUNCIONAMENTO NORMAL;2019-10-10
ADRIANA DE ARAUJO GUSMÃO;2002-08-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANA DE MELLO ALVES;2019-07-23;;;EM FUNCIONAMENTO NORMAL;2019-07-23
ADRIANA DIAS DALCANALE;2008-09-18;;;EM FUNCIONAMENTO NORMAL;2008-09-18
ADRIANA EMI HARAMOTO CARLONI;2010-10-15;2012-09-25;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-25
ADRIANA ENGELMANN KRUEGER;2004-12-15;2009-05-14;CANCELAMENTO A PEDIDO;CANCELADA;2009-05-14
ADRIANA ETSUCO KANAMARU;2019-08-19;;;EM FUNCIONAMENTO NORMAL;2019-08-19
ADRIANA FAGUNDES GONCALVES;2021-10-04;;;EM FUNCIONAMENTO NORMAL;2021-10-04
ADRIANA FERREIRA DA SILVA;2021-07-29;;;EM FUNCIONAMENTO NORMAL;2021-07-29
ADRIANA FIGUEIREDO COSTA MALUF;2022-08-17;;;EM FUNCIONAMENTO NORMAL;2022-08-17
ADRIANA FUTRYK;2020-11-05;;;EM FUNCIONAMENTO NORMAL;2020-11-05
ADRIANA GOES COELHO;2007-03-15;;;EM FUNCIONAMENTO NORMAL;2007-03-15
ADRIANA GOUVEIA MOREIRA;2021-06-02;;;EM FUNCIONAMENTO NORMAL;2021-06-02
ADRIANA GRANDI GATTO;2021-01-07;;;EM FUNCIONAMENTO NORMAL;2021-01-07
ADRIANA GUIDOTTI ALVES DE FARIA;2020-11-06;;;EM FUNCIONAMENTO NORMAL;2020-11-06
ADRIANA HERRERO LOPES;2013-07-12;;;EM FUNCIONAMENTO NORMAL;2013-07-12
ADRIANA JARDIM CASAQUI;2021-05-03;;;EM FUNCIONAMENTO NORMAL;2021-05-03
ADRIANA JOSEFA CARDOSO BRAGA;2019-06-05;2021-11-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-01
ADRIANA LEBEDENKO LIBORIO;2022-03-04;;;EM FUNCIONAMENTO NORMAL;2022-03-04
ADRIANA LUCHESI DE OLIVEIRA;2021-11-29;;;EM FUNCIONAMENTO NORMAL;2021-11-29
ADRIANA MARIA SA DOS REIS SILVA;2020-10-08;;;EM FUNCIONAMENTO NORMAL;2020-10-08
ADRIANA MARIA VASCONCELLOS MIRA;2019-07-11;;;EM FUNCIONAMENTO NORMAL;2019-07-11
ADRIANA MARTINS;2019-05-02;2021-12-02;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-03
ADRIANA MARTINS DE OLIVEIRA LIMA;2019-11-13;;;EM FUNCIONAMENTO NORMAL;2019-11-13
ADRIANA MAXIMO YAMASHITA;2020-11-06;;;EM FUNCIONAMENTO NORMAL;2020-11-06
ADRIANA MINHARRO GAMBIN;2009-02-19;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANA MOTA PIRES PINA;2022-05-31;;;EM FUNCIONAMENTO NORMAL;2022-05-31
ADRIANA NEUMARK;2011-03-30;2018-03-01;CANCELAMENTO A PEDIDO;CANCELADA;2018-03-02
ADRIANA NEVES DIAS;2021-01-26;;;EM FUNCIONAMENTO NORMAL;2021-01-26
ADRIANA NOGUEIRA PINHEIRO;2021-04-09;;;EM FUNCIONAMENTO NORMAL;2021-04-09
ADRIANA OLIVIERI CAMPOS;2020-10-15;2022-05-12;CANCELAMENTO A PEDIDO;CANCELADA;2022-05-13
ADRIANA OURIQUE GIRALDELLI;2005-04-13;2005-08-24;CANCELAMENTO A PEDIDO;CANCELADA;2005-08-24
ADRIANA PAULO FERREIRA;2019-01-17;;;EM FUNCIONAMENTO NORMAL;2019-01-17
ADRIANA PAZ LEITAO;2021-12-07;;;EM FUNCIONAMENTO NORMAL;2021-12-07
ADRIANA PICCIOTTO GRIS;2015-11-03;2021-03-11;CANCELAMENTO A PEDIDO;CANCELADA;2021-03-12
ADRIANA PIRES CORREIA DA SILVA;2021-03-09;;;EM FUNCIONAMENTO NORMAL;2021-03-09
ADRIANA RAMENZONI SEFRIN;2010-05-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANA RICCI DE SOUZA;2008-05-21;;;EM FUNCIONAMENTO NORMAL;2008-05-21
ADRIANA SALVAN DE PIERI;2019-08-01;;;EM FUNCIONAMENTO NORMAL;2019-08-01
ADRIANA SAMPAIO SECALI;2018-01-30;;;SUSPENSO(A) - A PEDIDO;2022-01-01
ADRIANA SANTOS CORINTI;2021-06-10;;;EM FUNCIONAMENTO NORMAL;2021-06-10
ADRIANA SANTOS CORINTI;2011-05-27;2012-12-19;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-19
ADRIANA SANTOS DE QUEIROZ;2020-08-20;;;EM FUNCIONAMENTO NORMAL;2020-08-20
ADRIANA SCARANTI;2019-05-31;;;EM FUNCIONAMENTO NORMAL;2019-05-31
ADRIANA TAKAKI;2019-08-02;;;EM FUNCIONAMENTO NORMAL;2019-08-02
ADRIANA TRINDADE MORATO;2020-09-04;2021-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-07-01
ADRIANE CASTELO BRANCO MORGADO DUARTE;2019-08-09;;;EM FUNCIONAMENTO NORMAL;2019-08-09
ADRIANE COSTA HAUSCHILD;2018-10-09;2019-09-13;CANCELAMENTO A PEDIDO;CANCELADA;2019-09-14
ADRIANE PEGORINI KOSOSKI;2020-11-06;;;EM FUNCIONAMENTO NORMAL;2020-11-06
ADRIANE ROISMANN;2020-04-01;;;EM FUNCIONAMENTO NORMAL;2020-04-01
ADRIANNE MEDEIROS DE MARCO SILVA;2020-10-05;;;EM FUNCIONAMENTO NORMAL;2020-10-05
ADRIANNE THAIS HERCULANO MARQUES;2020-11-18;;;EM FUNCIONAMENTO NORMAL;2020-11-18
ADRIANO AFONSO COSTA E SILVA;2013-11-21;;;EM FUNCIONAMENTO NORMAL;2013-11-21
ADRIANO AGUIAR RAMALHO ALVES;2021-02-23;2021-09-22;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-23
ADRIANO ALEXANDRE MATIAS;2019-07-01;;;EM FUNCIONAMENTO NORMAL;2019-07-01
ADRIANO ALVES DO SANTOS;2009-03-10;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANO ALVES LEITE;2019-09-09;;;EM FUNCIONAMENTO NORMAL;2019-09-09
ADRIANO APARECIDO DE OLIVEIRA;2008-12-23;2019-01-21;CANCELAMENTO A PEDIDO;CANCELADA;2019-01-22
ADRIANO APARECIDO ZECCHI;2021-01-07;;;EM FUNCIONAMENTO NORMAL;2021-01-07
ADRIANO ARISTÓTELES VIEIRA DE MENDONÇA;2011-10-13;2016-07-27;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-28
ADRIANO AUGUSTO ARENZANO MIRANDA;2019-08-19;;;EM FUNCIONAMENTO NORMAL;2019-08-19
ADRIANO AUGUSTO DA FONSECA;2015-04-30;;;EM FUNCIONAMENTO NORMAL;2015-04-30
ADRIANO AUGUSTO NEVES SANTOS;2022-03-18;;;EM FUNCIONAMENTO NORMAL;2022-03-18
ADRIANO BARREIRA DE ANDRADE;2018-10-11;;;EM FUNCIONAMENTO NORMAL;2018-10-11
ADRIANO BENELLI;2022-05-19;;;EM FUNCIONAMENTO NORMAL;2022-05-19
ADRIANO BIGNETTI;2011-11-03;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANO BONELA SARTI;2021-02-23;2021-05-19;CANCELAMENTO A PEDIDO;CANCELADA;2021-05-20
ADRIANO BRAGA SALDANHA;2007-01-24;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANO BRAZ HENRIQUE;2019-04-25;;;EM FUNCIONAMENTO NORMAL;2019-04-25
ADRIANO CARDOSO MATTA;2003-02-25;;;EM FUNCIONAMENTO NORMAL;2003-02-25
ADRIANO CARDOSO MILAGRES SILVA;2007-08-01;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
ADRIANO CARDOSO MILAGRES SILVA;2020-09-01;;;EM FUNCIONAMENTO NORMAL;2020-09-01
