CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
35.824.046/0001-00;360 Invest Agentes autonomos de investimentos Ltda;360 INVEST AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2020-02-27;;;EM FUNCIONAMENTO NORMAL;2020-02-27;SEDE;RUA DO ROCIO 199;CJ 22;VILA OLÍMPIA;SÃO PAULO;SP;4552000;11;11309095;aleboiani@irisplanejamento.com.br;
11.605.661/0001-67;3A INVESTIMENTOS AGENTES AUTONOMOS DE INVESTIMENTO LTDA;3A INVESTIMENTOS AGENTES AUTONOMOS DE INVESTIMENTO LTDA;2010-04-14;;;EM FUNCIONAMENTO NORMAL;2010-04-14;SEDE;RUA DESEMBARGADOR JORGE FONTANA 498 3 ANDAR SALA 302 A 305;;BELVEDERE;BELO HORIZONTE;MG;30320670;31;25141011;thiago@axpbelvedere.com.br;
19.163.178/0001-81;3BM AGENTE AUTÔNOMO DE INVESTIMENTOS S/S LTDA;3BM AGENTE AUTÔNOMO DE INVESTIMENTOS;2016-11-28;;;EM FUNCIONAMENTO NORMAL;2016-11-28;SEDE;RODOVIA AUGUSTO MONTENEGRO 4900;RUA MANGABA, N 360;PARQUE VERDE;BELÉM;PA;66635110;91;33478059;marcelo@3bminvestimentos.com.br;gpxinvest.com.br
35.696.463/0001-14;3P CAPITAL AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;3P CAPITAL AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;2019-12-06;2021-12-20;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-21;SEDE;RUA GUSTAVO MACIEL 2240;LOJA 04;JARDIM NASRALLA;BAURU;SP;17012110;11;81058085;felipechad@gmail.com;www.3pcapital.com.br
12.926.781/0001-29;3V AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2011-02-21;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-10-01;SEDE;R RUI S.RODRIGUES DE MOURA 663;;URBANOVA;SÃO JOSÉ DOS CAMPOS;SP;12244465;12;33022853;andre@3vi.com.br;
10.760.768/0001-17;3X AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI LTDA;3X AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2009-07-16;2018-03-15;CANCELAMENTO A PEDIDO;CANCELADA;2018-03-16;SEDE;AVLEOPOLDINO OLIVEIRA;4113/SALA 410;MERCÊS;UBERABA;MG;38060000;34;33322023;rick_alves@hotmail.com;
42.036.992/0001-57;4 TRADERS INVESTIMENTOS AGENTES AUTÔNOMOS LTDA.;4 TRADERS INVESTIMENTOS AGENTES AUTÔNOMOS LTDA.;2021-05-31;2022-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2022-06-30;SEDE;RUA DONA MARIANA 62;102;BOTAFOGO;RIO DE JANEIRO;RJ;22280020;;;leoiespa@gmail.com;
07.787.706/0001-94;4TRADE AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2006-02-15;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30;SEDE;RUA FRANCISCO LUCENA;0/17;CIDADE LIDER;SÃO PAULO;SP;8280450;11;21272799;chocolate@commcor.com.br;importacao
24.628.279/0001-10;4TRADER INVESTIMENTOS - AGENTE AUTÔNOMO DE INVESTIMENTO LTDA;4TRADER INVESTIMENTOS - AGENTE AUTÔNOMO DE INVESTIMENTO;2018-02-22;;;EM FUNCIONAMENTO NORMAL;2018-02-22;SEDE;RUA GRÃ NICCO 113;3 ANDAR CJ404 BL01;MOSSUNGUÊ;CURITIBA;PR;81200200;41;35145888;comercial@4traderinvest.com.br;www.4traderinvest.com.br
31.043.781/0001-25;4TUNE INVESTIMENTOS AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;4TUNE INVESTIMENTOS AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2018-08-03;;;EM FUNCIONAMENTO NORMAL;2018-08-03;SEDE;ALAMEDA TERRACOTA 185;SALA 301;CERÂMICA;SÃO CAETANO DO SUL;SP;9531190;11;25059111;dennis.kenji@4tuneinvestimnetos.com.br;
21.322.691/0001-10;4YOU INVESTIMENTOS AGENTE AUTONÔMO DE INVESTIMENTOS LTDA;4YOU INVESTIMENTOS AGENTE AUTONÔMO DE INVESTIMENTOS;2014-12-22;2021-09-28;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-29;SEDE;AVENIDA BRIGADEIRO LUÍS ANTÔNIO 2367;SALA 1105 E 1106;JARDIM PAULISTA;SÃO PAULO;SP;1401000;11;98795009;roberto@4youinvest.com.br;
24.153.845/0001-85;7 AGENTE AUTONOMO DE INVESTIMENTO LTDA;7 AGENTE AUTONOMO DE INVESTIMENTO LTDA;2016-03-21;2019-03-19;CANCELAMENTO A PEDIDO;CANCELADA;2019-03-20;SEDE;RUA INÁCIO PEREIRA ROCHA;142 - cj 713 A;PINHEIROS;SÃO PAULO;SP;5432010;11;25925090;wf@7investimentos.com.br;
24.438.098/0001-21;7 AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;7 AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2016-04-18;;;EM FUNCIONAMENTO NORMAL;2016-04-18;SEDE;RUA DOUTOR RUBENS GOMES BUENO 691;CJ 153 - BLOCO B;VÁRZEA DE BAIXO;SÃO PAULO;SP;4730903;11;96439058;renato.hellmeister@7investimentos.com.br;
10.963.691/0001-82;7A AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;7A AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;2009-10-14;2017-09-18;CANCELAMENTO A PEDIDO;CANCELADA;2017-09-19;SEDE;RUA CORREA DUTRA, 44;202;FLAMENGO;RIO DE JANEIRO;RJ;22210050;21;27173253;tpacheco@gradualinvestimentos.com.br;
10.969.258/0001-54;7MB AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2009-08-26;2015-05-25;CANCELAMENTO A PEDIDO;CANCELADA;2015-05-25;SEDE;RUA URUGUAI;41 - APTO. 502;ANDARAI;RIO DE JANEIRO;RJ;20541148;21;21388400;lcsilva@distribuidorplanner.com.br;
27.905.746/0001-09;7RD AGENTE AUTONOMO DE INVESTIMENTO S/S;7RD AGENTE AUTONOMO DE INVESTIMENTO S/S;2017-07-03;;;EM FUNCIONAMENTO NORMAL;2017-07-03;SEDE;RUA SANSÃO ALVES DOS SANTOS 433;2 AND - SL 21;CIDADE MONÇÕES;SÃO PAULO;SP;4571923;11;32146733;rafael.pivaro@rdinvestimentos.com.br;
10.333.695/0001-87;A & A - AGENTE AUTONOMO DE INVESTIMENTOS;;2008-10-30;;;EM FUNCIONAMENTO NORMAL;2008-10-30;SEDE;RUA PINHEIRO MACHADO;1565/SALA B;CENTRO;TAQUARA;RS;95600026;51;35412671;henrique@aeaagenteautonomo.com.br;
12.709.536/0001-60;A & J AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;;2010-12-15;2012-11-27;CANCELAMENTO A PEDIDO;CANCELADA;2012-11-27;SEDE;RUA PRETORIA, 243;AP 42;VILA FORMOSA;SÃO PAULO;SP;3416000;11;999616205;joaocarlosmourapereira@hotmail.com;
09.279.451/0001-84;A & M AGENTES AUTONOMOS DE INVESTIMENTOS S/S LTDA;;2008-06-04;2010-08-25;EXTINÇÃO;CANCELADA;2010-08-25;SEDE;RUA APINAJES 235;APTO 91;PERDIZES;SÃO PAULO;SP;5017000;11;37092700;mila.tundisi@agorainvest.com.br;
12.970.910/0001-86;A 88 AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;A 88 AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA.;2011-04-27;2019-09-12;CANCELAMENTO A PEDIDO;CANCELADA;2019-09-13;SEDE;RUA MANOEL DA NÓBREGA, 354;CONJUNTO 53;PARAÍSO;SÃO PAULO;SP;4001001;011;32533162;edson.fushimi@cmcapitalmarkets.com.br;
15.099.396/0001-43;A B M C MACHADO AGENTE AUTONOMO DE INVESTIMENTOS;;2012-05-08;2019-06-19;CANCELAMENTO A PEDIDO;CANCELADA;2019-06-20;SEDE;RODOVIA RAPOSO TAVARES;22140/KM22 BLC 304;LAGEADINHO;COTIA;SP;6709015;11;28585647;abcmachado@gmail.com;
06.320.788/0001-08;A F KIRON AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;A. F. KIRON AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA.;2006-04-20;2016-12-27;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-28;SEDE;RUA BARAO DO TRIUNFO,;1890/62 vit;BROOKLIN PAULISTA ;SÃO PAULO;SP;4602007;11;55433524;afranca1612@gmail.com;
09.065.972/0001-39;A NAVAJAS AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;;2007-10-15;;;EM FUNCIONAMENTO NORMAL;2007-10-15;SEDE;RUA PADRE LEBRET Nº 654;;JARDIM LEONOR;SÃO PAULO;SP;5653160;11;47015119;andre.navajas@gbxcapital.com;
06.346.152/0001-27;A P HAUSSEN AGENTE AUTONOMO DE INVESTIMENTOS EIRELI -ME;A P HAUSSEN AGENTE AUTONOMO DE INVESTIMENTOS EIRELI - ME;2004-08-20;2019-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2019-07-01;SEDE;RUA BOA VISTA;946/Sala02;CENTRO;MATO LEITÃO;RS;95835000;51;30563166;paulohaussen2014@gmail.com;
44.766.180/0001-92;A RESERVA PRIVATE AGENTE AUTONOMO DE INVESTIMENTO LTDA;A RESERVA PRIVATE AGENTE AUTONOMO DE INVESTIMENTO LTDA;2022-02-08;;;EM FUNCIONAMENTO NORMAL;2022-02-08;SEDE;RUA SEGISMUNDO MENDES 390;;CENTRO;UBERABA;MG;38010140;;;caio@aplica.ai;
12.091.422/0001-07;A&D AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;A&D AGENTE AUTÔNOMO DE INVESTIMENTOS EIRELI;2010-07-26;2015-08-07;CANCELAMENTO A PEDIDO;CANCELADA;2015-08-08;SEDE;RUA DO ROCIO 450;BL-C-AP254;VILA OLÍMPIA;SÃO PAULO;SP;4552000;11;37294490;webcont@webcont.com.br;
35.747.280/0001-80;A-PLAYERS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;A-PLAYERS AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI;2020-01-07;;;EM FUNCIONAMENTO NORMAL;2020-01-07;SEDE;AVENIDA AFRÂNIO RODRIGUES DA CUNHA;705/SALA 01 E 02;TABAJARAS;UBERLÂNDIA;MG;38400262;34;32121477;gabriel@aplayersinvestimentos.com.br;www.aplayersinvestimentos.com.br
15.147.798/0001-76;A. CESAR DE VASCONCELLOS FILHO AGENTE AUTONOMO DE INVESTIMENTO;A. CESAR DE VASCONCELLOS FILHO AGENTE AUTONOMO DE INVESTIMENTO;2012-09-20;;;EM FUNCIONAMENTO NORMAL;2012-09-20;SEDE;RUA CURUCA 259;;ILHA DO GOVERNADOR;RIO DE JANEIRO;RJ;21911070;21;24646292;rbr-rui@oi.com.br;
39.757.603/0001-78;A. L. DA SILVA AGENTE AUTONOMO DE INVESTIMENTOS;A. L. DA SILVA AGENTE AUTONOMO DE INVESTIMENTOS;2021-04-01;;;EM FUNCIONAMENTO NORMAL;2021-04-01;SEDE;RUA PROFESSOR BENEDITO DE SIQUEIRA ABREU 123;;RIBEIRÂNIA;RIBEIRÃO PRETO;SP;14096410;;;silvaadeco76@gmail.com;
17.532.405/0001-73;A. M. DA SILVA JUNHIOR AGENTE AUTÔNOMO DE INVESTIMENTOS;A. M. DA SILVA JUNHIOR AGENTE AUTÔNOMO DE INVESTIMENTOS;2013-03-22;2014-12-05;CANCELAMENTO A PEDIDO;CANCELADA;2014-12-05;SEDE;RUA: MORAIVA;2;CHACARA CALIFORNIA;SÃO PAULO;SP;3442040;11;29288550;opc1contabil@gmail.com;
10.311.478/0001-96;A. RUSSO AGENTE AUTONOMO DE INVESTIMENTOS LTDA;A. RUSSO AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2008-12-03;;;EM FUNCIONAMENTO NORMAL;2008-12-03;SEDE;PRAÇA DOS EXPEDICIONÁRIOS 19;SALA 44;GONZAGA;SANTOS;SP;11065500;13;32135050;contato@russoi.com.br;www.fcinvestimentos.com.br
20.917.115/0001-52;A. V. QUADROS - AGENTE AUTÔNOMO DE INVESTIMENTOS - ME;A. V. QUADROS - AGENTE AUTÔNOMO DE INVESTIMENTOS - ME;2014-11-06;2016-05-18;CANCELAMENTO A PEDIDO;CANCELADA;2016-05-19;SEDE;R FERNANDO SIMAS;1177;BIGORRILHO;CURITIBA;PR;80430190;41;88412385;alexandre@imgcapital.com.br;
34.157.426/0001-75;A.A. - AGENTE AUTONOMO DE INVESTIMENTOS SS UNIPESSOAL LTDA;;2020-10-28;2021-10-05;CANCELAMENTO A PEDIDO;CANCELADA;2021-10-06;SEDE;AVENIDA DEPUTADO JAMEL CECÍLIO;2690/SALA OFFICE 2006 - ED METROPOLITAN MALL;JARDIM GOIÁS;GOIÂNIA;GO;74810100;62;36452019;contato@aainvest.com.br;
11.638.449/0001-04;A.R.F. AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;A.R.F. AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;2010-04-20;2016-06-10;CANCELAMENTO A PEDIDO;CANCELADA;2016-06-10;SEDE;ALAMEDA CAMPINAS;701 - APTO 122 E;JARDIM PAULISTA;SÃO PAULO;SP;1404001;011;33654135;anibalrf.aai@tullettprebon.com.br;
18.957.858/0001-04;A1 AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;A1 AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;2013-11-11;2016-08-12;CANCELAMENTO A PEDIDO;CANCELADA;2016-08-13;SEDE;RUA PARÃ?;76/93;HIGIENÃ"POLIS;SÃO PAULO;SP;1243020;11;31204310;gestao@a1investmentos.com.br;
13.473.953/0001-19;A2 AGENTE AUTONOMO DE INVESTIMENTOS LTDA;;2011-09-13;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-10-01;SEDE;RUA SÓCRATES 810;34;VILA SOFIA;SÃO PAULO;SP;4671070;11;56879293;alexandre@a2investimentos.com.br;
24.740.884/0001-89;A2X AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;A2X AGENTE AUTONOMO DE INVESTIMENTOS EIRELI;2016-07-25;2018-04-19;CANCELAMENTO A PEDIDO;CANCELADA;2018-04-20;SEDE;Rua Oscar Vidal;55 / 1101;Centro;JUIZ DE FORA;MG;36010060;32;30267065;alessandra@a2x-investimentos.com;
16.623.743/0001-58;A3 AGENTES AUTÔNOMOS DE INVESTIMENTOS EIRELI;;2012-12-19;2016-10-31;CANCELAMENTO A PEDIDO;CANCELADA;2016-11-01;SEDE;SENADOR VERGUEIRO 203;728;FLAMENGO;RIO DE JANEIRO;RJ;22230000;21;40638811;daniel.aragao@a3i.com.br;
07.185.199/0001-19;A3 PERFORMANCE AGENTES AUTÔNOMOS DE INVESTIMENTO LTDA;A3 PERFORMANCE AGENTES AUTÔNOMOS DE INVESTIMENTO LTDA;2011-01-25;2019-12-13;CANCELAMENTO A PEDIDO;CANCELADA;2019-12-14;SEDE;ESTRADA DA GÁVEA;712/SALAS 405;SÃO CONRADO;RIO DE JANEIRO;RJ;22610002;21;31387800;a3aai@a3agentesautonomos.com.br;
45.875.619/0001-88;A3R AGENTE AUTONOMO DE INVESTIMENTO LTDA;A3R AGENTE AUTONOMO DE INVESTIMENTO LTDA;2022-04-27;;;EM FUNCIONAMENTO NORMAL;2022-04-27;SEDE;RUA LUCRÉCIA MACIEL 266;APT 32;VILA GUARANI (Z SUL);SÃO PAULO;SP;4314130;11;26368235;robetinholima618@hotmail.com;
26.118.359/0001-51;A3S AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;A3S AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;2016-10-20;;;EM FUNCIONAMENTO NORMAL;2016-10-20;SEDE;RUA HELENA 335;CONJ 64;VILA OLÍMPIA;SÃO PAULO;SP;4552050;11;97451692;gustavo.samogim@fxinvestimentos.com.br;
11.787.921/0001-62;A4 AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI;A4 AGENTES AUTONOMOS DE INVESTIMENTOS EIRELI;2010-07-13;2018-04-09;CANCELAMENTO A PEDIDO;CANCELADA;2018-04-10;SEDE;TRAVESSA DA AMIZADE, 64 283647;B2 AP 202;VILA DA PENHA;RIO DE JANEIRO;RJ;21221370;21;30318853;a4investimentos@gmail.com;www.a4i.com.br
11.097.726/0001-00;A6 INVEST - AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;A6 INVEST - AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;2009-10-07;2015-03-17;CANCELAMENTO A PEDIDO;CANCELADA;2015-03-18;SEDE;AL. RAJA GABAGLIA, 180 283647;3º ANDAR;VILA OLIMPIA;SÃO PAULO;SP;4551090;11;30453245;equipe@a6invest.com.br;www.tothcapital.com.br
43.135.039/0001-29;A7 CAPITAL AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;A7 CAPITAL AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2021-08-19;;;EM FUNCIONAMENTO NORMAL;2021-08-19;SEDE;AVENIDA JOAQUIM POMPEU DE TOLEDO 1005;;JARDIM NOVA YORQUE;ARAÇATUBA;SP;16018435;11;55507828;carlos.hotz@gmail.com;
34.182.333/0001-09;A7B INVESTIMENTOS - AGENTE AUTÔNOMO DE INVESTIMENTO EIRELI;A7B INVESTIMENTOS - AGENTE AUTÔNOMO DE INVESTIMENTO EIRELI;2019-07-19;2021-09-23;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-24;SEDE;AVENIDA RODRIGO FERNANDO GRILLO 207;SALA 1402;JARDIM DOS MANACÁS;ARARAQUARA;SP;14801534;16;34613601;gibarbosa@assetbank.com.br;www.assetbank.com.br
06.293.485/0001-35;AAA AGENTE AUTONOMO DE INVESTIMENTO LTDA;;2004-07-15;2012-09-18;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-18;SEDE;AVENIDA ATAULFO DE PAIVA,;1251/SALA 510;LEBLON;RIO DE JANEIRO;RJ;22440034;21;25129594;jorge.aaaagenteautonomo@gmail.com;
13.085.886/0001-65;AAB-PDX AGENTE AUTONOMO DE INVESTIMENTO LTDA;AAB-PDX AGENTE AUTONOMO DE INVESTIMENTO LTDA;2012-11-06;2015-11-25;CANCELAMENTO A PEDIDO;CANCELADA;2015-11-26;SEDE;AV. FREF. DULCÍDIO CARDOSO     2147483647;1350 BL2 / 2204;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22620311;21;91313316;elizeubernardo@gmail.com;
10.480.538/0001-02;AABS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;AABS AGENTES AUTONOMOS DE INVESTIMENTOS LTDA;2009-02-11;2015-10-01;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-02;SEDE;RUA ANDIRATUBA, 166;CASA;ITAQUERA;SÃO PAULO;SP;8210130;11;30354141;anderson.tel@terra.com.br;
12.244.534/0001-42;AAC AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA;;2010-08-10;2011-07-06;EXTINÇÃO;CANCELADA;2011-07-06;SEDE;RUA PERIQUITO Nº. 210;APARTAMENTO 191 A;UBERABINHA;SÃO PAULO;SP;4514050;11;37989160;grsc@terra.com.br;
15.822.462/0001-61;AAX - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;AAX - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2012-10-31;;;EM FUNCIONAMENTO NORMAL;2012-10-31;SEDE;PRAÇA SÍLVIO ROMERO 55;CJ 88;CIDADE MÃE DO CÉU;SÃO PAULO;SP;3323000;11;30489900;ambrus@aaxinvestimentos.com.br;www.alcanceinvestimentos.com.br
06.304.531/0001-54;AB AGENTES AUTÔNOMOS DE INVESTIMENTOS - EIRELI;TNA AGENTES AUTÔNOMOS DE INVESTIMENTO EIRELI;2004-07-15;;;EM FUNCIONAMENTO NORMAL;2004-07-15;SEDE;AVENIDA ATAULFO DE PAIVA;1351/SALA 401;LEBLON;RIO DE JANEIRO;RJ;22440034;21;32059494;administrativo@tna.com.br;
12.226.599/0001-65;AB1 AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;AB1 AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;2010-09-15;2018-03-28;CANCELAMENTO A PEDIDO;CANCELADA;2018-03-29;SEDE;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;1400 - 22;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543000;11;999421935;mirza@ab1investimentos.com.br;
03.001.602/0001-51;ABC AGENTES DE INVESTIMENTOS LTDA.;GLOBAL INVEST SERVIÇO DE PLANEJAMENTO FINANCEIRO LTDA;2006-07-19;2007-10-10;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2007-10-10;SEDE;Rua Visconde de Nacar, 1440;26º andar;Centro;CURITIBA;PR;80410201;41;33459971;fernando.ferreira@globalinvest.com.br;
05.369.151/0001-35;ABEID MATTOS E PINTO AGENTE AUTONOMO DE INVESTIMENTOS S/C LTDA;ABEID, MATTOS E PINTO AGENTE AUTONOMO DE INVESTIMENTOS S/C LTDA;2003-02-18;2015-10-27;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-28;SEDE;RUA MATTOS;256/SOBRADO - PARTE;CENTRO;RIO BONITO;RJ;28800000;21;32040101;destak@destak.com.br;
17.659.211/0001-33;ABREU AGENTE AUTONOMO DE INVESTIMENTOS - EIRELI;ABREU AGENTE AUTONOMO DE INVESTIMENTOS - EIRELI;2013-07-26;2016-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-01;SEDE;AVENIDA 9 DE JULHO;5966/2 AND SL 3;JARDIM PAULISTA;SÃO PAULO;SP;1406200;11;72923309;lhfabreu@hotmail.com;
